Nation,Date,Representative,Thumbnail,Designation,Running President/PM,Gist Link,Emotion,State of Affairs
USA,12-09-2015,Barack Obama,"
Weekly Address: A New College Scorecard",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/09/12/weekly-address-new-college-scorecard,OPTIMISM,DEVELOPMENT
USA,17-05-2017 00:00,Donald Trump,Remarks by President Trump at United States Coast Guard Academy Commencement Ceremony,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-united-states-coast-guard-academy-commencement-ceremony/,JOY,OTHERS
USA,23-05-2017 00:00,Donald Trump,Remarks by President Trump at the Israel Museum,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-israel-museum/,OPTIMISM,INTERNATIONAL AFFAIRS
USA,14-10-2021 00:00,Joe Biden,Statement of President Joe Biden on Unemployment Insurance Claims,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/10/14/statement-of-president-joe-biden-on-unemployment-insurance-claims-2/,OPTIMISM,DEVELOPMENT
Russia,05-09-2010 00:00,Dmitry Medvedev,Address at the ceremonial reception to mark the 65th anniversary of victory in the 1941–1945 Great Patriotic War,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/7688,JOY,NATIONALISM
Russia,13-08-2003,Vladimir Putin,Introductory Remarks at a Meeting with the Directors of Russian Processing Industry Companies,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22085,UPSET,DEVELOPMENT
USA,02-06-2019 00:00,Donald Trump,Remarks by President Trump at Ford’s Theatre Gala Performance,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-fords-theatre-gala-performance/,JOY,NATIONALISM
United Kingdom,25-Jan-12,David Cameron,Speech on the European Court of Human Rights,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/speech-on-the-european-court-of-human-rights,JOY,OTHERS
United Kingdom,31-Jul-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 31 July 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-31-july-2020,OPTIMISM,DEVELOPMENT
Russia,03-07-2007 00:00,Vladimir Putin,Speech at the Session of the Presidential Council for Implementing Priority National Projects and Demographic Policy,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24072,OPTIMISM,DEVELOPMENT
United Kingdom,28-May-10,David Cameron,Transforming the British economy: Coalition strategy for economic growth,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/transforming-the-british-economy-coalition-strategy-for-economic-growth,OPTIMISM,DEVELOPMENT
USA,15-06-2021 00:00,Joe Biden,"Statement by President Joseph R. Biden, Jr. on Agreement with the European Union on Boeing-Airbus",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/15/statement-by-president-joseph-r-biden-jr-on-agreement-with-the-european-union-on-boeing-airbus/,NEUTRAL,INTERNATIONAL AFFAIRS
China,30-09-2015 00:00,H.E. Wang Yi,"Intervention at the Open Ministerial Meeting of the UN Security Council On ""Settlement of Conflicts in the Middle East and North Africa and Countering the Terrorist Threat in the Region""",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1306578.shtml,UPSET,INTERNATIONAL AFFAIRS
USA,03-08-2013,Barack Obama,"
Weekly Address: Securing a Better Bargain for the Middle Class",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/08/03/weekly-address-securing-better-bargain-middle-class,NEUTRAL,DEVELOPMENT
USA,01-04-2021 00:00,Joe Biden,Remarks by President Biden in Cabinet Meeting,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/04/01/remarks-by-president-biden-in-cabinet-meeting/,NEUTRAL,OTHERS
United Kingdom,17-Jan-17,Theresa May,The government's negotiating objectives for exiting the EU: PM speech,,,,,
,,,,,,,,
Prime Minister,Theresa May,https://www.gov.uk/government/speeches/the-governments-negotiating-objectives-for-exiting-the-eu-pm-speech,JOY,,,,,
USA,09-04-2015,Barack Obama,"
Remarks by President Obama in Meeting with CARICOM",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/04/09/remarks-president-obama-meeting-caricom,NEUTRAL,OTHERS
China,27-04-2019 00:00,H.E. Xi Jinping,Remarks by H.E. Xi Jinping President of the People's Republic of China At the Press Conference of The Second Belt and Road Forum for International Cooperation,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1659452.shtml,NEUTRAL,DEVELOPMENT
USA,22-09-2013,Barack Obama,"
Remarks by the President at the Memorial Service for Victims of the Navy Yard Shooting",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/09/22/remarks-president-memorial-service-victims-navy-yard-shooting,UPSET,OTHERS
USA,11-09-2020 00:00,Donald Trump,"Remarks by President Trump at Flight 93 National Memorial 19th Anniversary Observance | Shanksville, PA",President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-flight-93-national-memorial-19th-anniversary-observance-shanksville-pa/,JOY,OTHERS
China,11-10-2013 00:00,Li Keqiang,May the Flower of China-Thailand Friendship Bear New Fruits,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1089855.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
China,20-04-2021 00:00,H.E. Xi Jinping,"Pulling Together Through Adversity and
Toward a Shared Future for All",President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1870296.shtml,OPTIMISM,OTHERS
Russia,05-11-2004 00:00,Vladimir Putin,Speech at a Meeting with the Cabinet Members,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22457,UPSET,OTHERS
China,31-08-2020 00:00,H.E. Wang Yi,"Upholding the Trend of Peace and Development of Our World with Unity, Cooperation, Openness and Inclusiveness",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1810696.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,03-09-2016,Barack Obama,"
Remarks by President Obama on the United States Formally Entering into the Paris Agreement",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/09/04/remarks-president-obama-united-states-formally-entering-paris-agreement,JOY,INTERNATIONAL AFFAIRS
Russia,12-02-2010 00:00,Dmitry Medvedev,Working meeting with Vladimir Ustinov and Alexander Tkachev,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/9675,UPSET,EXTREMISM
Russia,08-08-2009 00:00,Dmitry Medvedev,Excerpts from Conversation with Residents of South Ossetia,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/5148,OPTIMISM,OTHERS
USA,17-01-2018 00:00,Donald Trump,Remarks by President Trump at Congressional Gold Medal Ceremony Honoring Former Senator Bob Dole,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-congressional-gold-medal-ceremony-honoring-former-senator-bob-dole/,JOY,NATIONALISM
Russia,30-03-2002,Vladimir Putin,Introductory Remarks at a Meeting with the Secretaries of the Security Councils of the States of the “Caucasian Four”,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21546,OPTIMISM,INTERNATIONAL AFFAIRS
USA,09-01-2015,Barack Obama,"
Remarks by the President on America's College Promise",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/01/09/remarks-president-americas-college-promise,NEUTRAL,DEVELOPMENT
USA,03-05-2014,Barack Obama,"
Weekly Address: The President's Year of Action",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/05/03/weekly-address-presidents-year-action,OPTIMISM,DEVELOPMENT
USA,03-04-2013,Barack Obama,"
Remarks by the President on Reducing Gun Violence -- Denver, Colorado",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/04/03/remarks-president-reducing-gun-violence-denver-colorado,NEUTRAL,OTHERS
China,15-11-2015 00:00,Xi Jinping,Innovative Growth That Benefits All,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1315058.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
Russia,22-01-2006,Vladimir Putin,Speech at the First Plenary Session of the Public Council of the Russian Federation,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23394,OPTIMISM,OTHERS
United Kingdom,02-Sep-19,Boris Johnson,Prime Minister's statement: 2 September 2019,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-2-september-2019,OPTIMISM,DEVELOPMENT
USA,27-03-2015,Barack Obama,"
Remarks by the President in Meeting with Members of the President's Council of Advisors on Science and Technology",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/03/27/remarks-president-meeting-members-presidents-council-advisors-science-an,OPTIMISM,DEVELOPMENT
USA,17-12-2014,Barack Obama,"
Statement by the President on Cuba Policy Changes",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/12/17/statement-president-cuba-policy-changes,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,05-06-2004 00:00,Vladimir Putin,Speech at a Meeting with Members of the Central Election Commission,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22451,JOY,OTHERS
China,15-05-2019 00:00,H.E. Xi Jinping,Deepening Exchanges and Mutual Learning Among Civilizations For an Asian Community with a Shared Future,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1663857.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
China,23-04-2021 00:00,H.E. Wang Yi,"Focusing on Cooperation and Managing Differences:
Bringing China-U.S. Relations Back to the Track of
Sound and Steady Development",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1871285.shtml,UPSET,INTERNATIONAL AFFAIRS
Russia,07-11-2003 00:00,Vladimir Putin,"Meeting with the Top Officials of the Federal Assembly, the Government, the Presidium of the State Council and Leaders of Major Public Organisations",President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22053,OPTIMISM,DEVELOPMENT
China,07-05-2021 00:00,H.E. Wang Yi,"Remarks by State Councilor and Foreign Minister Wang Yi at the United Nations Security Council High-level Meeting on the Theme ""Maintenance of International Peace and Security: Upholding Multilateralism and the United Nations-centered International System""
2021/05/08",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1874347.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
USA,25-07-2013,Barack Obama,"
Remarks by the President at Iftar Dinner",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/07/25/remarks-president-iftar-dinner,JOY,OTHERS
USA,28-03-2013,Barack Obama,"
Remarks by the President on Gun Safety",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/03/28/remarks-president-gun-safety,UPSET,OTHERS
USA,22-08-2015,Barack Obama,"
Weekly Address: It’s Time for Congress To Pass a Responsible Budget",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/08/22/weekly-address-it%E2%80%99s-time-congress-pass-responsible-budget,NEUTRAL,DEVELOPMENT
China,26-11-2015 00:00,H.E. Wang Yi,Build on Past Achievements and Open up the Future of All-round Development of China-Africa Friendship and Cooperation,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1319121.shtml,JOY,INTERNATIONAL AFFAIRS
USA,14-05-2014,Barack Obama,"
Remarks by the President on Building a 21st Century Infrastructure",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/05/14/remarks-president-building-21st-century-infrastructure,OPTIMISM,DEVELOPMENT
USA,23-08-2021 00:00,Joe Biden,Remarks by President Biden on the COVID-⁠19 Response and the Vaccination Program,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/08/23/remarks-by-president-biden-on-the-covid-19-response-and-the-vaccination-program-7/,OPTIMISM,DEVELOPMENT
Russia,25-05-2009,Dmitry Medvedev,Opening Remarks at Meeting with Government Cabinet Members and Chairmen of the Federal Assembly Upper and Lower Houses on Budget Policy in 2010–2012,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/4186,UPSET,DEVELOPMENT
USA,14-11-2018 00:00,Donald Trump,"Remarks by President Trump on H.R. 5682, the FIRST STEP Act",President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-h-r-5682-first-step-act/,OPTIMISM,DEVELOPMENT
China,25-03-2016 00:00,H.E. Wang Yi,Remarks by Foreign Minister Wang Yi at the G20 Session of The Boao Forum for Asia Annual Conference 2016,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1352613.shtml,JOY,DEVELOPMENT
USA,11-03-2020 00:00,Donald Trump,Remarks by President Trump in Address to the Nation,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-address-nation/,UPSET,DEVELOPMENT
Russia,23-05-2011,Dmitry Medvedev,Meeting on preventing extremism,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/11308,OPTIMISM,EXTREMISM
USA,11-05-2013,Barack Obama,"
Remarks by the President at the Top Cops Ceremony",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/05/11/remarks-president-top-cops-ceremony,JOY,DEVELOPMENT
Russia,06-05-2009 00:00,Dmitry Medvedev,Address to St Petersburg International Economic Forum’s Plenary Session,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/4336,UPSET,DEVELOPMENT
USA,23-02-2017 00:00,Donald Trump,Remarks by President Trump at Listening Session on Domestic and International Human Trafficking,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-listening-session-domestic-international-human-trafficking/,NEUTRAL,DEVELOPMENT
Russia,12-12-2005 00:00,Vladimir Putin,Address to the First Session of the Parliament of the Republic of Chechnya,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23325,UPSET,INTERNATIONAL AFFAIRS
USA,03-12-2015,Barack Obama,"
Remarks by President Obama in Multilateral Meeting with Island Nation Leaders",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/12/03/remarks-president-obama-multilateral-meeting-island-nation-leaders,UPSET,INTERNATIONAL AFFAIRS
Russia,06-05-2010 00:00,Dmitry Medvedev,The environment and the economy do not contradict each other. A properly functioning economy is an environmentally friendly economy,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/7970,NEUTRAL,DEVELOPMENT
USA,27-02-2021 00:00,Joe Biden,Statement by President Joe Biden on Emergency Use Authorization of the Johnson & Johnson COVID-⁠19 Vaccine,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/02/27/statement-by-president-joe-biden-on-emergency-use-authorization-of-the-johnson-johnson-covid-19-vaccine/,OPTIMISM,DEVELOPMENT
